봄여름가을겨울 재배,재배 지역,작업기간,작업시기,추천작업1,추천작업2,추천작업3,추천작업4,추천작업5,항목구분,가이드분류,체크리스트,주기유형,간격일,작업분류,비고
촉성재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,병해충 방제,상시,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업메모,,"야간 12℃ 이상으로 보온을 철저히 하고, 점적관수로 오전에 물을 주세요. 받침대를 세우고 줄 유인을 해주며, 병해충은 예방 위주로 방제해주세요.",-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,,,,,가이드,본포 관리,야간 12℃ 이상을 유지하도록 보온을 철저히 해주세요.,-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,본포 관리(생육기),아주심기 후~수확 전,물주기,,,,,가이드,본포 관리,"점적관수를 이용하고, 물주기는 오전에 해주세요.",-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,본포 관리(생육기),아주심기 후~수확 전,물주기,,,,,가이드,본포 관리,투명필름덮기(멀칭)로 지온을 확보해주세요.,-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,본포 관리(생육기),아주심기 후~수확 전,유인 관리,,,,,가이드,본포 관리,받침대를 세우고 줄 유인을 해주세요.,-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,본포 관리(생육기),아주심기 후~수확 전,병해충 방제,,,,,가이드,병해충 방제,농약안전사용기준을 지켜서 방제해주세요.,-,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,수확기,1월 중순~4월 하순,수확,,,,,작업,,수확,주기성,2,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,수확기,1월 중순~4월 하순,수확,,,,,작업메모,,적기에 크기와 색이 든 오이를 2~3일 간격으로 계속 수확해주세요.,-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,씨뿌림 시,12월 1일~12월 10일,씨뿌림,,,,,작업,,씨뿌림,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,접목육묘 시,12월 11일~1월 20일,접목,,,,,작업,,접목,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,씨뿌림·접목육묘 시,12월 상순~1월 중순,씨뿌림,접목,,,,작업메모,,"4~5cm×0.5cm 간격으로 트레이(32·40·50공)에 10a당 2.0~2.5㎗의 씨앗을 뿌리고, 흑종·신토좌 대목에 단근편엽맞접(또는 편엽맞접)으로 접목해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,씨뿌림·접목육묘 시,12월 상순~1월 중순,씨뿌림,,,,,가이드,씨뿌림,"4~5cm×0.5cm 간격으로 트레이(32·40·50공)에 심고, 씨앗양은 10a당 2.0~2.5㎗가 기준입니다.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,씨뿌림·접목육묘 시,12월 상순~1월 중순,접목,,,,,가이드,접목육묘,"대목은 흑종 또는 신토좌를 쓰고, 단근편엽맞접이나 편엽맞접 방법으로 접목해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,씨뿌림·접목육묘 시,12월 상순~1월 중순,접목,,,,,가이드,접목육묘,신토좌는 흡비력이 강하므로 비료를 감량해서 시비해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,아주심기 시,1월 상순~2월 중순,아주심기,멀칭,,,,작업,,아주심기,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,아주심기 시,1월 상순~2월 중순,아주심기,멀칭,,,,작업,,멀칭,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,아주심기 시,1월 상순~2월 중순,아주심기,멀칭,,,,작업메모,,"본잎 3~4매 시기에 이랑 너비 150~180cm, 포기 사이 30~40cm 간격으로 심고, 비닐덮기(멀칭)와 터널재배를 함께 해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,아주심기 시,1월 상순~2월 중순,아주심기,,,,,가이드,아주심기 시기·간격,아주심기는 본잎 3~4매 시기에 해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,아주심기 시,1월 상순~2월 중순,아주심기,,,,,가이드,아주심기 시기·간격,"이랑 너비 150~180cm, 포기 사이 30~40cm 간격으로 심어주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,아주심기 시,1월 상순~2월 중순,멀칭,,,,,가이드,멀칭,비닐덮기(멀칭)와 터널재배로 지온을 확보해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,보온 관리,상시,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,물주기,상시,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,유인 관리,상시,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,병해충 방제,상시,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업메모,,"야간 12℃ 이상으로 보온을 철저히 하고, 점적관수로 오전에 물을 주세요. 받침대를 세우고 줄 유인을 해주며, 병해충은 예방 위주로 방제해주세요.",-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,,,,,가이드,본포 관리,야간 12℃ 이상을 유지하도록 보온을 철저히 해주세요.,-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,본포 관리(생육기),아주심기 후~수확 전,물주기,,,,,가이드,본포 관리,"점적관수를 이용하고, 물주기는 오전에 해주세요.",-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,본포 관리(생육기),아주심기 후~수확 전,물주기,,,,,가이드,본포 관리,투명필름덮기(멀칭)로 지온을 확보해주세요.,-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,본포 관리(생육기),아주심기 후~수확 전,유인 관리,,,,,가이드,본포 관리,받침대를 세우고 줄 유인을 해주세요.,-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,본포 관리(생육기),아주심기 후~수확 전,병해충 방제,,,,,가이드,병해충 방제,농약안전사용기준을 지켜서 방제해주세요.,-,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,수확기,3월 중순~6월 하순,수확,,,,,작업,,수확,주기성,2,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
반촉성재배,,수확기,3월 중순~6월 하순,수확,,,,,작업메모,,적기에 크기와 색이 든 오이를 2~3일 간격으로 계속 수확해주세요.,-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,씨뿌림 시,2월 1일~2월 10일,씨뿌림,,,,,작업,,씨뿌림,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,접목육묘 시,2월 11일~3월 20일,접목,,,,,작업,,접목,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,씨뿌림·접목육묘 시,2월 상순~3월 중순,씨뿌림,접목,,,,작업메모,,"4~5cm×0.5cm 간격으로 트레이(32·40·50공)에 10a당 2.0~2.5㎗의 씨앗을 뿌리고, 흑종·신토좌 대목에 단근편엽맞접(또는 편엽맞접)으로 접목해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,씨뿌림·접목육묘 시,2월 상순~3월 중순,씨뿌림,,,,,가이드,씨뿌림,"4~5cm×0.5cm 간격으로 트레이(32·40·50공)에 심고, 씨앗양은 10a당 2.0~2.5㎗가 기준입니다.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,씨뿌림·접목육묘 시,2월 상순~3월 중순,접목,,,,,가이드,접목육묘,"대목은 흑종 또는 신토좌를 쓰고, 단근편엽맞접이나 편엽맞접 방법으로 접목해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,씨뿌림·접목육묘 시,2월 상순~3월 중순,접목,,,,,가이드,접목육묘,신토좌는 흡비력이 강하므로 비료를 감량해서 시비해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,아주심기 시,3월 상순~4월 중순,아주심기,멀칭,,,,작업,,아주심기,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,아주심기 시,3월 상순~4월 중순,아주심기,멀칭,,,,작업,,멀칭,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,아주심기 시,3월 상순~4월 중순,아주심기,멀칭,,,,작업메모,,"본잎 3~4매 시기에 이랑 너비 150~180cm, 포기 사이 30~40cm 간격으로 심고, 비닐덮기(멀칭)와 터널재배를 함께 해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,아주심기 시,3월 상순~4월 중순,아주심기,,,,,가이드,아주심기 시기·간격,아주심기는 본잎 3~4매 시기에 해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,아주심기 시,3월 상순~4월 중순,아주심기,,,,,가이드,아주심기 시기·간격,"이랑 너비 150~180cm, 포기 사이 30~40cm 간격으로 심어주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,아주심기 시,3월 상순~4월 중순,멀칭,,,,,가이드,멀칭,비닐덮기(멀칭)와 터널재배로 지온을 확보해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,보온 관리,상시,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,물주기,상시,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,유인 관리,상시,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,병해충 방제,상시,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업메모,,"야간 12℃ 이상으로 보온을 철저히 하고, 점적관수로 오전에 물을 주세요. 받침대를 세우고 줄 유인을 해주며, 병해충은 예방 위주로 방제해주세요.",-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,,,,,가이드,본포 관리,야간 12℃ 이상을 유지하도록 보온을 철저히 해주세요.,-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,본포 관리(생육기),아주심기 후~수확 전,물주기,,,,,가이드,본포 관리,"점적관수를 이용하고, 물주기는 오전에 해주세요.",-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,본포 관리(생육기),아주심기 후~수확 전,물주기,,,,,가이드,본포 관리,투명필름덮기(멀칭)로 지온을 확보해주세요.,-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,본포 관리(생육기),아주심기 후~수확 전,유인 관리,,,,,가이드,본포 관리,받침대를 세우고 줄 유인을 해주세요.,-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,본포 관리(생육기),아주심기 후~수확 전,병해충 방제,,,,,가이드,병해충 방제,농약안전사용기준을 지켜서 방제해주세요.,-,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,수확기,5월 중순~7월 하순,수확,,,,,작업,,수확,주기성,2,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
조숙재배,,수확기,5월 중순~7월 하순,수확,,,,,작업메모,,적기에 크기와 색이 든 오이를 2~3일 간격으로 계속 수확해주세요.,-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,씨뿌림 시,8월 1일~8월 10일,씨뿌림,,,,,작업,,씨뿌림,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,접목육묘 시,8월 11일~9월 20일,접목,,,,,작업,,접목,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,씨뿌림·접목육묘 시,8월 상순~9월 중순,씨뿌림,접목,,,,작업메모,,"4~5cm×0.5cm 간격으로 트레이(32·40·50공)에 10a당 2.0~2.5㎗의 씨앗을 뿌리고, 흑종·신토좌 대목에 단근편엽맞접(또는 편엽맞접)으로 접목해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,씨뿌림·접목육묘 시,8월 상순~9월 중순,씨뿌림,,,,,가이드,씨뿌림,"4~5cm×0.5cm 간격으로 트레이(32·40·50공)에 심고, 씨앗양은 10a당 2.0~2.5㎗가 기준입니다.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,씨뿌림·접목육묘 시,8월 상순~9월 중순,접목,,,,,가이드,접목육묘,"대목은 흑종 또는 신토좌를 쓰고, 단근편엽맞접이나 편엽맞접 방법으로 접목해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,씨뿌림·접목육묘 시,8월 상순~9월 중순,접목,,,,,가이드,접목육묘,신토좌는 흡비력이 강하므로 비료를 감량해서 시비해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,아주심기 시,9월 상순~10월 중순,아주심기,멀칭,,,,작업,,아주심기,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,아주심기 시,9월 상순~10월 중순,아주심기,멀칭,,,,작업,,멀칭,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,아주심기 시,9월 상순~10월 중순,아주심기,멀칭,,,,작업메모,,"본잎 3~4매 시기에 이랑 너비 150~180cm, 포기 사이 30~40cm 간격으로 심고, 비닐덮기(멀칭)와 터널재배를 함께 해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,아주심기 시,9월 상순~10월 중순,아주심기,,,,,가이드,아주심기 시기·간격,아주심기는 본잎 3~4매 시기에 해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,아주심기 시,9월 상순~10월 중순,아주심기,,,,,가이드,아주심기 시기·간격,"이랑 너비 150~180cm, 포기 사이 30~40cm 간격으로 심어주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,아주심기 시,9월 상순~10월 중순,멀칭,,,,,가이드,멀칭,비닐덮기(멀칭)와 터널재배로 지온을 확보해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,보온 관리,상시,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,물주기,상시,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,유인 관리,상시,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,병해충 방제,상시,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업메모,,"야간 12℃ 이상으로 보온을 철저히 하고, 점적관수로 오전에 물을 주세요. 받침대를 세우고 줄 유인을 해주며, 병해충은 예방 위주로 방제해주세요.",-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,,,,,가이드,본포 관리,야간 12℃ 이상을 유지하도록 보온을 철저히 해주세요.,-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,본포 관리(생육기),아주심기 후~수확 전,물주기,,,,,가이드,본포 관리,"점적관수를 이용하고, 물주기는 오전에 해주세요.",-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,본포 관리(생육기),아주심기 후~수확 전,물주기,,,,,가이드,본포 관리,투명필름덮기(멀칭)로 지온을 확보해주세요.,-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,본포 관리(생육기),아주심기 후~수확 전,유인 관리,,,,,가이드,본포 관리,받침대를 세우고 줄 유인을 해주세요.,-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
